context,label
Fire inside a birthday cake in a home,Controlled fire
Smoke and fire seen in the roof,Dangerous fire
Fire burning through the curtains,Dangerous fire
Fire on a stove during a celebration,Controlled fire
Fire on the garage,Dangerous fire
A match stick glowing at night,Controlled fire
Fire detected near the gas station,Dangerous fire
Cooking using a campfire,Controlled fire
Fire used for warmth in a grill,Controlled fire
Cooking using a stove,Controlled fire
Fire detected near the ceiling,Dangerous fire
Children blowing out a lantern,Controlled fire
A cozy room with a match stick,Controlled fire
Fire inside a fireplace in a home,Controlled fire
Fire burning in a campfire indoors,Controlled fire
Fire burning through the wall,Dangerous fire
People escaping a fire in the garage,Dangerous fire
Uncontrolled fire spreading in the bed,Dangerous fire
Fire burning in a lantern indoors,Controlled fire
Children blowing out a stove,Controlled fire
Cooking using a bonfire,Controlled fire
Fire burning through the gas station,Dangerous fire
Fire on the ceiling,Dangerous fire
Emergency in the wall due to fire,Dangerous fire
A cozy room with a grill,Controlled fire
Fire destroying property in the roof,Dangerous fire
Smoke and fire seen in the bed,Dangerous fire
Fire destroying property in the forest,Dangerous fire
A bonfire is lit in the dark,Controlled fire
Fire on a match stick during a celebration,Controlled fire
Crowded mall,No fire
Children blowing out a oil lamp,Controlled fire
Emergency in the living room due to fire,Dangerous fire
A person working on a laptop,No fire
Empty hallway,No fire
A closed restaurant,No fire
Fire inside a birthday cake in a home,Controlled fire
Fire on the gas station,Dangerous fire
Fire inside a lantern in a home,Controlled fire
Fire detected near the gas station,Dangerous fire
Smoke and fire seen in the forest,Dangerous fire
Fire used for warmth in a lantern,Controlled fire
Fire destroying property in the living room,Dangerous fire
Fire detected near the trash bin,Dangerous fire
Explosions caused by fire in the trash bin,Dangerous fire
Fire destroying property in the bed,Dangerous fire
Fire inside a campfire in a home,Controlled fire
A cozy room with a stove,Controlled fire
Emergency in the curtains due to fire,Dangerous fire
Outdoor evening with a campfire,Controlled fire
Bus station,No fire
Cooking using a grill,Controlled fire
Cooking using a lantern,Controlled fire
Empty hallway,No fire
Smoke and fire seen in the gas station,Dangerous fire
Fire on a birthday cake during a celebration,Controlled fire
Fire burning through the gas station,Dangerous fire
Smoke and fire seen in the trash bin,Dangerous fire
Cooking using a campfire,Controlled fire
Emergency in the wall due to fire,Dangerous fire
A person working on a laptop,No fire
Fire used for warmth in a oil lamp,Controlled fire
Museum interior,No fire
Fire used for warmth in a lantern,Controlled fire
Emergency in the curtains due to fire,Dangerous fire
A dog playing in the yard,No fire
A park in spring,No fire
Fire burning through the roof,Dangerous fire
Uncontrolled fire spreading in the curtains,Dangerous fire
Fire detected near the curtains,Dangerous fire
Sunset over the ocean,No fire
Fire inside a oil lamp in a home,Controlled fire
Fire on a bonfire during a celebration,Controlled fire
Emergency in the vehicle due to fire,Dangerous fire
Uncontrolled fire spreading in the office,Dangerous fire
Smoke and fire seen in the kitchen,Dangerous fire
Fire detected near the wall,Dangerous fire
Outdoor evening with a campfire,Controlled fire
Crowded mall,No fire
Fire inside a match stick in a home,Controlled fire
Cooking using a grill,Controlled fire
Children blowing out a oil lamp,Controlled fire
Uncontrolled fire spreading in the vehicle,Dangerous fire
Crowded mall,No fire
People escaping a fire in the curtains,Dangerous fire
Empty hallway,No fire
Fire inside a fireplace in a home,Controlled fire
A birthday cake is lit in the dark,Controlled fire
Fire detected near the vehicle,Dangerous fire
Explosions caused by fire in the living room,Dangerous fire
A snowy mountain,No fire
A street market,No fire
Emergency in the trash bin due to fire,Dangerous fire
Large flames engulfing the kitchen,Dangerous fire
A snowy mountain,No fire
Uncontrolled fire spreading in the garage,Dangerous fire
Empty hallway,No fire
Fire inside a campfire in a home,Controlled fire
Cooking using a candle,Controlled fire
A fireplace is lit in the dark,Controlled fire
Cooking using a stove,Controlled fire
A peaceful beach,No fire
A person working on a laptop,No fire
Fire inside a oil lamp in a home,Controlled fire
A cozy room with a fireplace,Controlled fire
Cooking using a bonfire,Controlled fire
Busy airport,No fire
Children reading books,No fire
Fire destroying property in the ceiling,Dangerous fire
A snowy mountain,No fire
Fire used for warmth in a lantern,Controlled fire
Crowded mall,No fire
Fire used for warmth in a grill,Controlled fire
Large flames engulfing the living room,Dangerous fire
Fire on the curtains,Dangerous fire
A person working on a laptop,No fire
Explosions caused by fire in the curtains,Dangerous fire
Emergency in the forest due to fire,Dangerous fire
Explosions caused by fire in the bed,Dangerous fire
A street market,No fire
Fire used for warmth in a campfire,Controlled fire
Smoke and fire seen in the forest,Dangerous fire
Museum interior,No fire
A cozy room with a stove,Controlled fire
Smoke and fire seen in the kitchen,Dangerous fire
A birthday cake is lit in the dark,Controlled fire
Outdoor evening with a fireplace,Controlled fire
Children blowing out a fireplace,Controlled fire
Fire burning in a lantern indoors,Controlled fire
Smoke and fire seen in the kitchen,Dangerous fire
Fire destroying property in the kitchen,Dangerous fire
Smoke and fire seen in the forest,Dangerous fire
Explosions caused by fire in the garage,Dangerous fire
Fire on a bonfire during a celebration,Controlled fire
Explosions caused by fire in the trash bin,Dangerous fire
Uncontrolled fire spreading in the wall,Dangerous fire
Uncontrolled fire spreading in the gas station,Dangerous fire
Bus station,No fire
Fire inside a grill in a home,Controlled fire
A park in spring,No fire
A classroom with students,No fire
Outdoor evening with a campfire,Controlled fire
A street market,No fire
Large flames engulfing the ceiling,Dangerous fire
Fire inside a grill in a home,Controlled fire
Children blowing out a campfire,Controlled fire
A campfire is lit in the dark,Controlled fire
Fire on the ceiling,Dangerous fire
Fire burning in a campfire indoors,Controlled fire
Large flames engulfing the ceiling,Dangerous fire
Bus station,No fire
Fire burning in a grill indoors,Controlled fire
Outdoor evening with a birthday cake,Controlled fire
Fire on the trash bin,Dangerous fire
A closed restaurant,No fire
A park in spring,No fire
Emergency in the office due to fire,Dangerous fire
Fire burning through the vehicle,Dangerous fire
Fire destroying property in the forest,Dangerous fire
Children blowing out a candle,Controlled fire
Fire inside a fireplace in a home,Controlled fire
Emergency in the curtains due to fire,Dangerous fire
Children blowing out a match stick,Controlled fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
Emergency in the living room due to fire,Dangerous fire
Outdoor evening with a birthday cake,Controlled fire
Large flames engulfing the kitchen,Dangerous fire
Fire on the gas station,Dangerous fire
A lantern glowing at night,Controlled fire
A grill glowing at night,Controlled fire
Uncontrolled fire spreading in the curtains,Dangerous fire
Cooking using a campfire,Controlled fire
Large flames engulfing the vehicle,Dangerous fire
Fire used for warmth in a stove,Controlled fire
Fire inside a fireplace in a home,Controlled fire
Smoke and fire seen in the ceiling,Dangerous fire
A cozy room with a grill,Controlled fire
Large flames engulfing the bed,Dangerous fire
Smoke and fire seen in the office,Dangerous fire
Emergency in the curtains due to fire,Dangerous fire
Cooking using a match stick,Controlled fire
Uncontrolled fire spreading in the office,Dangerous fire
Fire burning through the roof,Dangerous fire
Fire on the living room,Dangerous fire
Empty hallway,No fire
Museum interior,No fire
Sunset over the ocean,No fire
Fire burning in a candle indoors,Controlled fire
Explosions caused by fire in the forest,Dangerous fire
Fire destroying property in the garage,Dangerous fire
A dog playing in the yard,No fire
Uncontrolled fire spreading in the bed,Dangerous fire
Fire burning through the ceiling,Dangerous fire
Cooking using a campfire,Controlled fire
Fire on a grill during a celebration,Controlled fire
A oil lamp is lit in the dark,Controlled fire
Outdoor evening with a stove,Controlled fire
Children blowing out a candle,Controlled fire
A cozy room with a stove,Controlled fire
People escaping a fire in the office,Dangerous fire
A cozy room with a stove,Controlled fire
Fire detected near the living room,Dangerous fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
Emergency in the trash bin due to fire,Dangerous fire
Fire burning through the bed,Dangerous fire
Crowded mall,No fire
Fire destroying property in the office,Dangerous fire
Fire used for warmth in a lantern,Controlled fire
Crowded mall,No fire
A campfire is lit in the dark,Controlled fire
Cooking using a stove,Controlled fire
A oil lamp glowing at night,Controlled fire
Cooking using a candle,Controlled fire
A peaceful beach,No fire
A stove is lit in the dark,Controlled fire
People escaping a fire in the bed,Dangerous fire
Fire on the gas station,Dangerous fire
Fire burning through the garage,Dangerous fire
Fire destroying property in the curtains,Dangerous fire
People escaping a fire in the vehicle,Dangerous fire
Fire used for warmth in a bonfire,Controlled fire
Crowded mall,No fire
Smoke and fire seen in the roof,Dangerous fire
Emergency in the gas station due to fire,Dangerous fire
A closed restaurant,No fire
Empty hallway,No fire
Outdoor evening with a stove,Controlled fire
Children blowing out a stove,Controlled fire
A candle is lit in the dark,Controlled fire
Outdoor evening with a fireplace,Controlled fire
A train arriving,No fire
A stove glowing at night,Controlled fire
Fire on the kitchen,Dangerous fire
Fire destroying property in the vehicle,Dangerous fire
Bus station,No fire
Fire burning in a fireplace indoors,Controlled fire
A classroom with students,No fire
Fire on a fireplace during a celebration,Controlled fire
Cooking using a candle,Controlled fire
Fire used for warmth in a bonfire,Controlled fire
Cooking using a campfire,Controlled fire
A cozy room with a oil lamp,Controlled fire
