context,label
Fire used for warmth in a match stick,Controlled fire
Fire on a grill during a celebration,Controlled fire
A park in spring,No fire
A cozy room with a bonfire,Controlled fire
Large flames engulfing the living room,Dangerous fire
A candle is lit in the dark,Controlled fire
Emergency in the trash bin due to fire,Dangerous fire
Fire destroying property in the living room,Dangerous fire
Bus station,No fire
Fire burning through the wall,Dangerous fire
People escaping a fire in the living room,Dangerous fire
Children blowing out a birthday cake,Controlled fire
A peaceful beach,No fire
Fire detected near the gas station,Dangerous fire
Outdoor evening with a match stick,Controlled fire
Outdoor evening with a grill,Controlled fire
Empty hallway,No fire
Uncontrolled fire spreading in the living room,Dangerous fire
Children blowing out a bonfire,Controlled fire
Fire burning through the garage,Dangerous fire
Explosions caused by fire in the garage,Dangerous fire
Cooking using a campfire,Controlled fire
Fire detected near the bed,Dangerous fire
Children blowing out a birthday cake,Controlled fire
Fire burning in a lantern indoors,Controlled fire
Dark alley,No fire
A cozy room with a campfire,Controlled fire
Children blowing out a grill,Controlled fire
Fire on a campfire during a celebration,Controlled fire
A park in spring,No fire
Explosions caused by fire in the curtains,Dangerous fire
Large flames engulfing the curtains,Dangerous fire
Fire inside a candle in a home,Controlled fire
Outdoor evening with a campfire,Controlled fire
Uncontrolled fire spreading in the trash bin,Dangerous fire
Emergency in the office due to fire,Dangerous fire
Smoke and fire seen in the roof,Dangerous fire
A grill glowing at night,Controlled fire
Fire detected near the vehicle,Dangerous fire
People escaping a fire in the office,Dangerous fire
Fire detected near the garage,Dangerous fire
Fire inside a grill in a home,Controlled fire
Fire used for warmth in a lantern,Controlled fire
Emergency in the office due to fire,Dangerous fire
